seq,turn_index,event_id,event_type,actor_player_id,payload
2919,167,mock-44910-42ec35c5-evt-002919,HOUSE_BUILT,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 16, ""count"": 3}"
2920,167,mock-44910-42ec35c5-evt-002920,HOUSE_BUILT,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 18, ""count"": 3}"
2921,167,mock-44910-42ec35c5-evt-002921,HOUSE_BUILT,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 19, ""count"": 3}"
2982,171,mock-44910-42ec35c5-evt-002982,HOUSE_BUILT,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 16, ""count"": 1}"
2983,171,mock-44910-42ec35c5-evt-002983,HOUSE_BUILT,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 18, ""count"": 1}"
3008,173,mock-44910-42ec35c5-evt-003008,HOUSE_SOLD,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 11, ""count"": 1}"
3009,173,mock-44910-42ec35c5-evt-003009,HOUSE_SOLD,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 13, ""count"": 1}"
3077,180,mock-44910-42ec35c5-evt-003077,HOUSE_BUILT,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 19, ""count"": 1}"
3078,180,mock-44910-42ec35c5-evt-003078,HOUSE_BUILT,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 13, ""count"": 1}"
3936,260,mock-44910-42ec35c5-evt-003936,HOUSE_SOLD,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 21, ""count"": 1}"
3937,260,mock-44910-42ec35c5-evt-003937,HOUSE_SOLD,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 23, ""count"": 1}"
3954,261,mock-44910-42ec35c5-evt-003954,HOUSE_BUILT,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 11, ""count"": 1}"
3955,261,mock-44910-42ec35c5-evt-003955,HOUSE_BUILT,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 1, ""count"": 1}"
3969,262,mock-44910-42ec35c5-evt-003969,HOUSE_SOLD,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 24, ""count"": 2}"
3975,262,mock-44910-42ec35c5-evt-003975,HOUSE_SOLD,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 21, ""count"": 1}"
3993,263,mock-44910-42ec35c5-evt-003993,HOUSE_SOLD,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 23, ""count"": 2}"
4008,264,mock-44910-42ec35c5-evt-004008,HOUSE_SOLD,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 21, ""count"": 1}"
4027,265,mock-44910-42ec35c5-evt-004027,HOUSE_BUILT,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 1, ""count"": 3}"
4028,265,mock-44910-42ec35c5-evt-004028,HOUSE_BUILT,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 3, ""count"": 3}"
