episode_id,episode_family,saved_game,run_id,turn_start,turn_end,decision_ids_json,event_start_id,event_end_id,selection_basis,events_path,actions_path,decisions_path,events_sha256,actions_sha256,decisions_sha256
CAL-011,FACTUAL_PUBLIC_PRIVATE,frontier-166-mock-3676466999-527872e4-claude-opus-4-8,mock-3676466999-527872e4,96,96,"[""mock-3676466999-527872e4-dec-000289""]",mock-3676466999-527872e4-evt-001968,mock-3676466999-527872e4-evt-001972,public language contains a checkable economic/state cue,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-166-mock-3676466999-527872e4-claude-opus-4-8\run\events.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-166-mock-3676466999-527872e4-claude-opus-4-8\run\actions.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-166-mock-3676466999-527872e4-claude-opus-4-8\run\decisions.jsonl,026d82aece12a1192f0d02bbbc1794198220b7a6ed9772b9c0f0e1957db5b804,3f428e7b3ec6ad1abb96f70bccb2fe80996335695fe67a7a51a2c517fcbdd21c,6f4ef781d5ad5799fb880ee2ec28c5ac3fcf87577b4433c49c8c6d16b419314e
CAL-012,TRADE_OR_COALITION,frontier-115-mock-321229807-87ca99d7-gemini-3-1-pro-preview,mock-321229807-87ca99d7,20,20,"[""mock-321229807-87ca99d7-dec-000085"",""mock-321229807-87ca99d7-dec-000086""]",mock-321229807-87ca99d7-evt-000542,mock-321229807-87ca99d7-evt-000550,structured propose_trade action through first terminal trade event,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-115-mock-321229807-87ca99d7-gemini-3-1-pro-preview\run\events.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-115-mock-321229807-87ca99d7-gemini-3-1-pro-preview\run\actions.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-115-mock-321229807-87ca99d7-gemini-3-1-pro-preview\run\decisions.jsonl,23a6b306d8e7420c535b24cf3b80c19b1c1c07ae5280201baa20e47209663ab8,c245c0063054f102c713d7fd4f1e0f9234690f4d8ecccb6c4e6c87271b88c042,e999e16ae311d5b3005136e7078e441de4697d0eda62ec2015563452ada23cbb
CAL-013,ACCUSATION_OR_HIGH_RISK,frontier-166-mock-3676466999-527872e4-claude-opus-4-8,mock-3676466999-527872e4,144,149,"[""mock-3676466999-527872e4-dec-000444""]",mock-3676466999-527872e4-evt-002997,mock-3676466999-527872e4-evt-003127,"public language contains accusation, threat, betrayal, or deception cue",C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-166-mock-3676466999-527872e4-claude-opus-4-8\run\events.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-166-mock-3676466999-527872e4-claude-opus-4-8\run\actions.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-166-mock-3676466999-527872e4-claude-opus-4-8\run\decisions.jsonl,026d82aece12a1192f0d02bbbc1794198220b7a6ed9772b9c0f0e1957db5b804,3f428e7b3ec6ad1abb96f70bccb2fe80996335695fe67a7a51a2c517fcbdd21c,6f4ef781d5ad5799fb880ee2ec28c5ac3fcf87577b4433c49c8c6d16b419314e
CAL-014,AUCTION_COORDINATION,frontier-191-mock-83265-81ed4937-openai-gpt-5-5,mock-83265-81ed4937,55,55,"[""mock-83265-81ed4937-dec-000226"",""mock-83265-81ed4937-dec-000227"",""mock-83265-81ed4937-dec-000228"",""mock-83265-81ed4937-dec-000229"",""mock-83265-81ed4937-dec-000230"",""mock-83265-81ed4937-dec-000231""]",mock-83265-81ed4937-evt-001453,mock-83265-81ed4937-evt-001486,canonical AUCTION_STARTED through terminal auction event,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-191-mock-83265-81ed4937-openai-gpt-5-5\run\events.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-191-mock-83265-81ed4937-openai-gpt-5-5\run\actions.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-191-mock-83265-81ed4937-openai-gpt-5-5\run\decisions.jsonl,c5424cc75e5b57ca739ecde778e3be7d13bddb468e667e7a259e49a4e608d50c,e4ff8d55e07302d52f017adc5d1f6de715d68efb710aa7972a7a32835316bdad,0623798519f98e98185e94405a9a655f954c59a95b756f5f05037e7f1c735161
CAL-015,FACTUAL_PUBLIC_PRIVATE,frontier-mini-273-mock-44910-42ec35c5-gemini-3-flash-preview,mock-44910-42ec35c5,134,134,"[""mock-44910-42ec35c5-dec-000340""]",mock-44910-42ec35c5-evt-002419,mock-44910-42ec35c5-evt-002423,public language contains a checkable economic/state cue,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-mini-273-mock-44910-42ec35c5-gemini-3-flash-preview\run\events.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-mini-273-mock-44910-42ec35c5-gemini-3-flash-preview\run\actions.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-mini-273-mock-44910-42ec35c5-gemini-3-flash-preview\run\decisions.jsonl,af9f0a964005dbd0b1aac7c87eebfb61785543647b3a6c3d3dcb62a32713094d,917bc4beef5cdec59400900ba43b4fb1ed556aefc2690665f677c0eee12f1d3b,e05553c2e3aacc860e9cfd82ad4df0e3e68344f9566a9b9bb23040a3c27bc50a
CAL-016,TRADE_OR_COALITION,frontier-mini-273-mock-44910-42ec35c5-gemini-3-flash-preview,mock-44910-42ec35c5,33,38,"[""mock-44910-42ec35c5-dec-000078""]",mock-44910-42ec35c5-evt-000549,mock-44910-42ec35c5-evt-000624,public language contains a coalition or targeting cue,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-mini-273-mock-44910-42ec35c5-gemini-3-flash-preview\run\events.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-mini-273-mock-44910-42ec35c5-gemini-3-flash-preview\run\actions.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-mini-273-mock-44910-42ec35c5-gemini-3-flash-preview\run\decisions.jsonl,af9f0a964005dbd0b1aac7c87eebfb61785543647b3a6c3d3dcb62a32713094d,917bc4beef5cdec59400900ba43b4fb1ed556aefc2690665f677c0eee12f1d3b,e05553c2e3aacc860e9cfd82ad4df0e3e68344f9566a9b9bb23040a3c27bc50a
CAL-017,PROMISE_OR_REVERSAL,frontier-191-mock-83265-81ed4937-openai-gpt-5-5,mock-83265-81ed4937,79,89,"[""mock-83265-81ed4937-dec-000319""]",mock-83265-81ed4937-evt-002076,mock-83265-81ed4937-evt-002396,public language contains an explicit commitment cue,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-191-mock-83265-81ed4937-openai-gpt-5-5\run\events.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-191-mock-83265-81ed4937-openai-gpt-5-5\run\actions.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-191-mock-83265-81ed4937-openai-gpt-5-5\run\decisions.jsonl,c5424cc75e5b57ca739ecde778e3be7d13bddb468e667e7a259e49a4e608d50c,e4ff8d55e07302d52f017adc5d1f6de715d68efb710aa7972a7a32835316bdad,0623798519f98e98185e94405a9a655f954c59a95b756f5f05037e7f1c735161
CAL-018,TRADE_OR_COALITION,frontier-mini-154-mock-24591-46c1eb90-gemini-3-5-flash,mock-24591-46c1eb90,139,139,"[""mock-24591-46c1eb90-dec-000363"",""mock-24591-46c1eb90-dec-000364""]",mock-24591-46c1eb90-evt-002662,mock-24591-46c1eb90-evt-002670,structured propose_trade action through first terminal trade event,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-mini-154-mock-24591-46c1eb90-gemini-3-5-flash\run\events.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-mini-154-mock-24591-46c1eb90-gemini-3-5-flash\run\actions.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-mini-154-mock-24591-46c1eb90-gemini-3-5-flash\run\decisions.jsonl,aa4001676d71bf15576cf0348528889114feb7e05f030f0d068882aea13f3246,c66d941c7188e121ef1ceaae4626a074d552724f54f6d733123b12b6abdff99b,13e3737fd01300b1ee7c440214f6e8f28dc2f2271f2f08fbae259d12d240df7a
CAL-019,ACCUSATION_OR_HIGH_RISK,frontier-191-mock-83265-81ed4937-openai-gpt-5-5,mock-83265-81ed4937,50,55,"[""mock-83265-81ed4937-dec-000194""]",mock-83265-81ed4937-evt-001262,mock-83265-81ed4937-evt-001509,"public language contains accusation, threat, betrayal, or deception cue",C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-191-mock-83265-81ed4937-openai-gpt-5-5\run\events.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-191-mock-83265-81ed4937-openai-gpt-5-5\run\actions.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-191-mock-83265-81ed4937-openai-gpt-5-5\run\decisions.jsonl,c5424cc75e5b57ca739ecde778e3be7d13bddb468e667e7a259e49a4e608d50c,e4ff8d55e07302d52f017adc5d1f6de715d68efb710aa7972a7a32835316bdad,0623798519f98e98185e94405a9a655f954c59a95b756f5f05037e7f1c735161
CAL-020,PROMISE_OR_REVERSAL,frontier-172-mock-2413970733-53b199c1-gemini-3-1-pro-preview,mock-2413970733-53b199c1,159,169,"[""mock-2413970733-53b199c1-dec-000584""]",mock-2413970733-53b199c1-evt-003855,mock-2413970733-53b199c1-evt-004040,public language contains an explicit commitment cue,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-172-mock-2413970733-53b199c1-gemini-3-1-pro-preview\run\events.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-172-mock-2413970733-53b199c1-gemini-3-1-pro-preview\run\actions.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-172-mock-2413970733-53b199c1-gemini-3-1-pro-preview\run\decisions.jsonl,e4df1dc9952eb77df60b7662ad675f4771faffa7ce9d5354d9d21025a6616f07,38c62cd41ce3a46906ded9971361cb4a7c7d789632553e1feaa1cdbe66345034,58ab2483c6af73d7bf560a14bf66e63afb2539420a46f2fa99f62c8c10ddda32
CAL-021,PROMISE_OR_REVERSAL,frontier-115-mock-321229807-87ca99d7-gemini-3-1-pro-preview,mock-321229807-87ca99d7,16,26,"[""mock-321229807-87ca99d7-dec-000062""]",mock-321229807-87ca99d7-evt-000405,mock-321229807-87ca99d7-evt-000718,public language contains an explicit commitment cue,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-115-mock-321229807-87ca99d7-gemini-3-1-pro-preview\run\events.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-115-mock-321229807-87ca99d7-gemini-3-1-pro-preview\run\actions.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-115-mock-321229807-87ca99d7-gemini-3-1-pro-preview\run\decisions.jsonl,23a6b306d8e7420c535b24cf3b80c19b1c1c07ae5280201baa20e47209663ab8,c245c0063054f102c713d7fd4f1e0f9234690f4d8ecccb6c4e6c87271b88c042,e999e16ae311d5b3005136e7078e441de4697d0eda62ec2015563452ada23cbb
CAL-022,TRADE_OR_COALITION,frontier-166-mock-3676466999-527872e4-claude-opus-4-8,mock-3676466999-527872e4,10,10,"[""mock-3676466999-527872e4-dec-000028"",""mock-3676466999-527872e4-dec-000029""]",mock-3676466999-527872e4-evt-000193,mock-3676466999-527872e4-evt-000201,structured propose_trade action through first terminal trade event,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-166-mock-3676466999-527872e4-claude-opus-4-8\run\events.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-166-mock-3676466999-527872e4-claude-opus-4-8\run\actions.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-166-mock-3676466999-527872e4-claude-opus-4-8\run\decisions.jsonl,026d82aece12a1192f0d02bbbc1794198220b7a6ed9772b9c0f0e1957db5b804,3f428e7b3ec6ad1abb96f70bccb2fe80996335695fe67a7a51a2c517fcbdd21c,6f4ef781d5ad5799fb880ee2ec28c5ac3fcf87577b4433c49c8c6d16b419314e
CAL-023,FACTUAL_PUBLIC_PRIVATE,frontier-166-mock-3676466999-527872e4-claude-opus-4-8,mock-3676466999-527872e4,10,10,"[""mock-3676466999-527872e4-dec-000026""]",mock-3676466999-527872e4-evt-000179,mock-3676466999-527872e4-evt-000183,public language contains a checkable economic/state cue,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-166-mock-3676466999-527872e4-claude-opus-4-8\run\events.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-166-mock-3676466999-527872e4-claude-opus-4-8\run\actions.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-166-mock-3676466999-527872e4-claude-opus-4-8\run\decisions.jsonl,026d82aece12a1192f0d02bbbc1794198220b7a6ed9772b9c0f0e1957db5b804,3f428e7b3ec6ad1abb96f70bccb2fe80996335695fe67a7a51a2c517fcbdd21c,6f4ef781d5ad5799fb880ee2ec28c5ac3fcf87577b4433c49c8c6d16b419314e
CAL-024,FACTUAL_PUBLIC_PRIVATE,frontier-172-mock-2413970733-53b199c1-gemini-3-1-pro-preview,mock-2413970733-53b199c1,35,35,"[""mock-2413970733-53b199c1-dec-000112""]",mock-2413970733-53b199c1-evt-000741,mock-2413970733-53b199c1-evt-000745,public language contains a checkable economic/state cue,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-172-mock-2413970733-53b199c1-gemini-3-1-pro-preview\run\events.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-172-mock-2413970733-53b199c1-gemini-3-1-pro-preview\run\actions.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-172-mock-2413970733-53b199c1-gemini-3-1-pro-preview\run\decisions.jsonl,e4df1dc9952eb77df60b7662ad675f4771faffa7ce9d5354d9d21025a6616f07,38c62cd41ce3a46906ded9971361cb4a7c7d789632553e1feaa1cdbe66345034,58ab2483c6af73d7bf560a14bf66e63afb2539420a46f2fa99f62c8c10ddda32
