evidence_id,artifact_type,provenance,source_path,run_relative_source_path,locator_type,locator,source_locator,source_object_id,source_sequence,source_turn,source_attempt,description,referenced_outputs_json,referenced_sections_json,referenced_outputs_sections,resolution_status
E-EVT-000010,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000010,mock-83265-81ed4937-evt-000010,mock-83265-81ed4937-evt-000010,10,0,,LLM_DECISION_REQUESTED event at sequence 10,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000011,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000011,mock-83265-81ed4937-evt-000011,mock-83265-81ed4937-evt-000011,11,0,,LLM_DECISION_RESPONSE event at sequence 11,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000012,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000012,mock-83265-81ed4937-evt-000012,mock-83265-81ed4937-evt-000012,12,0,,LLM_PUBLIC_MESSAGE event at sequence 12,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000013,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000013,mock-83265-81ed4937-evt-000013,mock-83265-81ed4937-evt-000013,13,0,,LLM_PRIVATE_THOUGHT event at sequence 13,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000014,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000014,mock-83265-81ed4937-evt-000014,mock-83265-81ed4937-evt-000014,14,0,,TURN_ENDED event at sequence 14,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000015,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000015,mock-83265-81ed4937-evt-000015,mock-83265-81ed4937-evt-000015,15,1,,TURN_STARTED event at sequence 15,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000016,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000016,mock-83265-81ed4937-evt-000016,mock-83265-81ed4937-evt-000016,16,1,,DICE_ROLLED event at sequence 16,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000017,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000017,mock-83265-81ed4937-evt-000017,mock-83265-81ed4937-evt-000017,17,1,,PLAYER_MOVED event at sequence 17,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000018,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000018,mock-83265-81ed4937-evt-000018,mock-83265-81ed4937-evt-000018,18,1,,LLM_DECISION_REQUESTED event at sequence 18,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000019,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000019,mock-83265-81ed4937-evt-000019,mock-83265-81ed4937-evt-000019,19,1,,LLM_DECISION_RESPONSE event at sequence 19,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000020,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000020,mock-83265-81ed4937-evt-000020,mock-83265-81ed4937-evt-000020,20,1,,LLM_PUBLIC_MESSAGE event at sequence 20,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000021,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000021,mock-83265-81ed4937-evt-000021,mock-83265-81ed4937-evt-000021,21,1,,LLM_PRIVATE_THOUGHT event at sequence 21,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000022,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000022,mock-83265-81ed4937-evt-000022,mock-83265-81ed4937-evt-000022,22,1,,PROPERTY_PURCHASED event at sequence 22,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000023,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000023,mock-83265-81ed4937-evt-000023,mock-83265-81ed4937-evt-000023,23,1,,CASH_CHANGED event at sequence 23,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000024,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000024,mock-83265-81ed4937-evt-000024,mock-83265-81ed4937-evt-000024,24,1,,LLM_DECISION_REQUESTED event at sequence 24,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000025,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000025,mock-83265-81ed4937-evt-000025,mock-83265-81ed4937-evt-000025,25,1,,LLM_DECISION_RESPONSE event at sequence 25,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000026,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000026,mock-83265-81ed4937-evt-000026,mock-83265-81ed4937-evt-000026,26,1,,LLM_PUBLIC_MESSAGE event at sequence 26,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000027,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000027,mock-83265-81ed4937-evt-000027,mock-83265-81ed4937-evt-000027,27,1,,LLM_PRIVATE_THOUGHT event at sequence 27,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000028,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000028,mock-83265-81ed4937-evt-000028,mock-83265-81ed4937-evt-000028,28,1,,TURN_ENDED event at sequence 28,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000029,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000029,mock-83265-81ed4937-evt-000029,mock-83265-81ed4937-evt-000029,29,2,,TURN_STARTED event at sequence 29,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000030,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000030,mock-83265-81ed4937-evt-000030,mock-83265-81ed4937-evt-000030,30,2,,DICE_ROLLED event at sequence 30,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000031,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000031,mock-83265-81ed4937-evt-000031,mock-83265-81ed4937-evt-000031,31,2,,PLAYER_MOVED event at sequence 31,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000032,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000032,mock-83265-81ed4937-evt-000032,mock-83265-81ed4937-evt-000032,32,2,,CARD_DRAWN event at sequence 32,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000033,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000033,mock-83265-81ed4937-evt-000033,mock-83265-81ed4937-evt-000033,33,2,,CASH_CHANGED event at sequence 33,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000034,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000034,mock-83265-81ed4937-evt-000034,mock-83265-81ed4937-evt-000034,34,2,,LLM_DECISION_REQUESTED event at sequence 34,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000035,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000035,mock-83265-81ed4937-evt-000035,mock-83265-81ed4937-evt-000035,35,2,,LLM_DECISION_RESPONSE event at sequence 35,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000036,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000036,mock-83265-81ed4937-evt-000036,mock-83265-81ed4937-evt-000036,36,2,,LLM_PUBLIC_MESSAGE event at sequence 36,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000037,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000037,mock-83265-81ed4937-evt-000037,mock-83265-81ed4937-evt-000037,37,2,,LLM_PRIVATE_THOUGHT event at sequence 37,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000038,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000038,mock-83265-81ed4937-evt-000038,mock-83265-81ed4937-evt-000038,38,2,,TURN_ENDED event at sequence 38,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000039,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000039,mock-83265-81ed4937-evt-000039,mock-83265-81ed4937-evt-000039,39,3,,TURN_STARTED event at sequence 39,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-003-005""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000040,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000040,mock-83265-81ed4937-evt-000040,mock-83265-81ed4937-evt-000040,40,3,,DICE_ROLLED event at sequence 40,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-003-005""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000041,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000041,mock-83265-81ed4937-evt-000041,mock-83265-81ed4937-evt-000041,41,3,,PLAYER_MOVED event at sequence 41,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-003-005""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000042,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000042,mock-83265-81ed4937-evt-000042,mock-83265-81ed4937-evt-000042,42,3,,LLM_DECISION_REQUESTED event at sequence 42,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-003-005""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000043,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000043,mock-83265-81ed4937-evt-000043,mock-83265-81ed4937-evt-000043,43,3,,LLM_DECISION_RESPONSE event at sequence 43,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-003-005""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000044,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000044,mock-83265-81ed4937-evt-000044,mock-83265-81ed4937-evt-000044,44,3,,LLM_PUBLIC_MESSAGE event at sequence 44,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-003-005""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000045,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000045,mock-83265-81ed4937-evt-000045,mock-83265-81ed4937-evt-000045,45,3,,LLM_PRIVATE_THOUGHT event at sequence 45,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-003-005""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000046,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000046,mock-83265-81ed4937-evt-000046,mock-83265-81ed4937-evt-000046,46,3,,TURN_ENDED event at sequence 46,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-003-005""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000047,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000047,mock-83265-81ed4937-evt-000047,mock-83265-81ed4937-evt-000047,47,4,,TURN_STARTED event at sequence 47,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-003-005""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000048,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000048,mock-83265-81ed4937-evt-000048,mock-83265-81ed4937-evt-000048,48,4,,DICE_ROLLED event at sequence 48,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-003-005""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000049,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000049,mock-83265-81ed4937-evt-000049,mock-83265-81ed4937-evt-000049,49,4,,PLAYER_MOVED event at sequence 49,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-003-005""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000050,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000050,mock-83265-81ed4937-evt-000050,mock-83265-81ed4937-evt-000050,50,4,,LLM_DECISION_REQUESTED event at sequence 50,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-003-005""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000051,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000051,mock-83265-81ed4937-evt-000051,mock-83265-81ed4937-evt-000051,51,4,,LLM_DECISION_RESPONSE event at sequence 51,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-003-005""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000052,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000052,mock-83265-81ed4937-evt-000052,mock-83265-81ed4937-evt-000052,52,4,,LLM_PUBLIC_MESSAGE event at sequence 52,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-003-005""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000053,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000053,mock-83265-81ed4937-evt-000053,mock-83265-81ed4937-evt-000053,53,4,,LLM_PRIVATE_THOUGHT event at sequence 53,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-003-005""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000054,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000054,mock-83265-81ed4937-evt-000054,mock-83265-81ed4937-evt-000054,54,4,,TURN_ENDED event at sequence 54,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-003-005""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000055,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000055,mock-83265-81ed4937-evt-000055,mock-83265-81ed4937-evt-000055,55,5,,TURN_STARTED event at sequence 55,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-003-005""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000056,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000056,mock-83265-81ed4937-evt-000056,mock-83265-81ed4937-evt-000056,56,5,,DICE_ROLLED event at sequence 56,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-003-005""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000057,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000057,mock-83265-81ed4937-evt-000057,mock-83265-81ed4937-evt-000057,57,5,,PLAYER_MOVED event at sequence 57,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-003-005""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000058,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000058,mock-83265-81ed4937-evt-000058,mock-83265-81ed4937-evt-000058,58,5,,LLM_DECISION_REQUESTED event at sequence 58,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-003-005""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000059,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000059,mock-83265-81ed4937-evt-000059,mock-83265-81ed4937-evt-000059,59,5,,LLM_DECISION_RESPONSE event at sequence 59,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-003-005""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000060,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000060,mock-83265-81ed4937-evt-000060,mock-83265-81ed4937-evt-000060,60,5,,LLM_PUBLIC_MESSAGE event at sequence 60,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-003-005""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000061,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000061,mock-83265-81ed4937-evt-000061,mock-83265-81ed4937-evt-000061,61,5,,LLM_PRIVATE_THOUGHT event at sequence 61,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-003-005""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000062,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000062,mock-83265-81ed4937-evt-000062,mock-83265-81ed4937-evt-000062,62,5,,PROPERTY_PURCHASED event at sequence 62,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-003-005""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000063,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000063,mock-83265-81ed4937-evt-000063,mock-83265-81ed4937-evt-000063,63,5,,CASH_CHANGED event at sequence 63,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-003-005""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000064,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000064,mock-83265-81ed4937-evt-000064,mock-83265-81ed4937-evt-000064,64,5,,LLM_DECISION_REQUESTED event at sequence 64,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-003-005""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000065,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000065,mock-83265-81ed4937-evt-000065,mock-83265-81ed4937-evt-000065,65,5,,LLM_DECISION_RESPONSE event at sequence 65,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-003-005""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
